study_id,study_category,title,year,doi,included_in_lda
S57,Primary,User Centric Evaluation of Code Generation Tools,2024,10.1109/AITest62860.2024.00022,Yes
S58,Primary,We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs,2024,10.48550/arXiv.2406.10279,Yes
S59,Primary,Why Do Developers Engage with ChatGPT in Issue-Tracker? Investigating Usage and Reliance on ChatGPT-Generated Code,2024,10.48550/arXiv.2412.06757,Yes
S60,Primary,"Would ChatGPT-facilitated programming mode impact college students’ programming behaviors, performances, and perceptions? An empirical study",2024,10.1186/s41239-024-00446-5,Yes
S61,Primary,Cracking the Code: Co-coding with AI in Creative Programming Education,2022,10.1145/3527927.3532801,Yes
S62,Primary,“It would work for me too”: How Online Communities Shape Software Developers’ Trust in AI-Powered Code Generation Tools,2024,10.1145/3651990,Yes
S63,Primary,Java Web Programming with ChatGPT,2024,10.1109/ICMTIM62047.2024.10629560,Yes
S64,Primary,Pair programming with ChatGPT for sampling and estimation of copulas,2024,10.1007/s00180-023-01437-2,Yes
S65,Primary,HAVEN: Hallucination-Mitigated LLM for Verilog Code Generation Aligned with HDL Engineers,2025,10.48550/arXiv.2501.04908,Yes
S66,Primary,Importing Phantoms: Measuring LLM Package Hallucination Vulnerabilities,2025,10.48550/arXiv.2501.19012,Yes
S67,Secondary,"Hallucination by Code Generation LLMs: Taxonomy, Benchmarks, Mitigation, and Challenges",2025,,No
S68,Secondary,Novice Developers’ Perspectives on Adopting LLMs for Software Development: A Systematic Literature Review,2024,10.48550/arXiv.2503.07556,No
S69,Secondary,SoK: Exploring Hallucinations and Security Risks in AI-Assisted Software Development,2025,10.48550/arXiv.2502.18468,No
S70,Primary,Towards Mitigating API Hallucination in Code Generated by LLMs with Hierarchical Dependency Aware,2025,10.48550/arXiv.2505.05057,Yes
S71,Primary,Code Generation Using LLMs,2025,10.54660/IJFEI.2025.2.2.16-22,Yes
