Study_ID,title,DOI,publication_year,publication_venue,pdf_filename,pdf_sha256,primary_secondary_classification,page_count,extraction_status,extracted_characters,extracted_words
S08,An Empirical Study of the Code Generation of Safety-Critical Software Using LLMs,10.3390/app14031046,2024,Applied Sciences (published by MDPI),An Empirical Study of the Code Generation of Safety-Critical Software Using LLMs.pdf,cd0d4efc949f3fccc63b43aa26b27d166d4f3efeb4ad3b2ecd3633862ec9ee3d,Primary,41,ok,120710,17068
S09,An Empirical Study of the Non-determinism of ChatGPT in Code Generation,10.1145/3697010,2024,ACM Transactions on Software Engineering and Methodology (TOSEM),An Empirical Study of the Non-determinism of ChatGPT in Code Generation.pdf,0b288d8d1e9ecae8fcb3358d6a0fffceab86cfdd5bf2b81842cbb12bc3e90254,Primary,27,ok,98169,14969
S10,Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments,10.1145/3643795.3648375,2024,LLM4Code '24 (Proceedings of the 1st International Workshop on Large Language Models for Code),Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments.pdf,4a0e2e0dc37f27b3a869622572a65a6e12877466970daf37f922d3b6892cfd5e,Primary,9,ok,58497,8558
S11,Applying RLAIF for Code Generation with API-usage in Lightweight LLMs,10.48550/arXiv.2406.20060,2024,NLRSE 2024 (Proceedings of the 1st Workshop on Natural Language Reasoning and Structured Explanations),Applying RLAIF for Code Generation with API-usage in Lightweight LLMs.pdf,8bf1a31ea89fd313dfb67006d045465440e8477a4f41140c631d13556d3072a3,Primary,7,ok,28838,4355
S12,Automated Programming Exercise Generation in the Era of Large Language Models,10.1109/CSEET62301.2024.10662984,2024,CSEE&T 2024 (Proceedings of the 36th International Conference on Software Engineering Education and Training),Automated_Programming_Exercise_Generation_in_the_Era_of_Large_Language_Models.pdf,6f12337d49690b5dfca002679fe72676069eac686dfe3bdcc8d2e5dead990c01,Primary,5,ok,31457,4752
S13,Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation,10.1145/3636555.3636846,2024,LAK 2024 (Proceedings of the 14th International Learning Analytics and Knowledge Conference),Automating Human Tutor-Style Programming Feedback Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation.pdf,e6d26cac2b321c1fcc26494c55e4d7e372ec6bbba1ff4ecb9148e6ed49a10541,Primary,12,ok,64600,10061
S14,Beyond Code Generation: An Observational Study of ChatGPT Usage in Software Engineering Practice,10.1145/3660788,2024,Proceedings of the ACM on Software Engineering (PACMSE),Beyond Code Generation An Observational Study of ChatGPT Usage in Software Engineering Practice.pdf,bedd10cb31845aa134c5229d215080efc8e8f1f30ebcb8dba3031476ab587678,Primary,22,ok,83278,12280
S15,Beyond Functional Correctness: An Exploratory Study on the Time Efficiency of Programming Assignments,10.1145/3639474.3640065,2024,ICSE-SEET 2024 (Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training),Beyond_Functional_Correctness_An_Exploratory_Study_on_the_Time_Efficiency_of_Programming_Assignments.pdf,e6b383a15452beb09466cb6ce323ac26fd21f6bb7d8b82ca61c36a32acd0e8ba,Primary,11,ok,62942,9163
S16,Bridging the Theory-Practice Gap in a Maintenance Programming Course: An Experience Report,10.1145/3639474.3640062,2024,ICSE-SEET 2024 (Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training),Bridging the Theory-Practice Gap in a Maintenance Programming Course An Experience Report.pdf,1289dfbd819314447cb5d560ae1b1bd791a36fda31490e5792b8688955df47de,Primary,9,ok,49497,7502
S17,Bugs in Large Language Models Generated Code: An Empirical Study,10.1007/s10664-025-10614-4,2024,Empirical Software Engineering (published by Springer),Bugs in large language models generated code an empirical.pdf,365e8879ec1ec4eb13ea929a635f13aa92f08f2c5ab1bcc11dfc1c733e3f6d5c,Primary,48,ok,151564,23621
S18,Can ChatGPT Support Developers? An Empirical Evaluation of Large Language Models for Code Generation,10.1145/3643991.3645074,2024,MSR 2024 (Proceedings of the 21st International Conference on Mining Software Repositories),Can_ChatGPT_Support_Developers_An_Empirical_Evaluation_of_Large_Language_Models_for_Code_Generation.pdf,f2a16261b3394bea8c3575a4c06b06b47ad440729d0f78f86dd758cfdb0d2f62,Primary,5,ok,29328,4345
S19,Case study: using AI-assisted code generation in mobile teams,10.1109/ICCP60212.2023.10398656,2023,IEEE Xplore / Proceedings of the International Conference on Software Engineering (ICSE) workshops,Case_study_using_AI-assisted_code_generation_in_mobile_teams.pdf,c67034e2488d4d0854cfc5f9f5e95599319552ae59dfdbb433c5b9835ef67532,Primary,8,ok,42519,6685
S20,Chain-of-Programming (CoP): Empowering Large Language Models for Geospatial Code Generation,10.1080/17538947.2025.2509812,2025,the International Journal of Digital Earth,Chain-of-Programming (CoP)  Empowering Large Language Models for Geospatial Code Generation.pdf,215ef565f0a91b24e0813ccbe757370d3cc4c44b05929ba098da8769a77b6678,Primary,34,ok,82919,11748
S21,Code Generation with AlphaCodium: From Prompt Engineering to Flow,10.48550/arXiv.2401.08500,2024,arXiv,Code Generation with AlphaCodium From Prompt Engineering to Flow.pdf,b7e6422424c482e7002c19a6d7ba18220b7610a16047aeb46f1c235d836d96f0,Primary,10,ok,35173,5500
S22,Code Hallucination,10.48550/arXiv.2407.04831,2024,arXiv,Code Hallucination.pdf,c077904fb6a8814e1c3277b00bbd6a9cdb6283cf0eb9b898c6caa9903338f135,Primary,9,ok,34973,5396
S23,CodeHalu: Investigating Code Hallucinations in LLMs via Execution-based Verification,,2025,"Proceedings of the AAAI Conference on Artificial Intelligence (AAAI). [1, 2]",CodeHalu Investigating.pdf,7b5ce3d36154e1c6cbff1e26cdaf37d3f5a599bc301c9e4dbb8129e75ac5113e,Primary,9,ok,45996,6830
S24,CodeMirage: Hallucinations in Code Generated by Large Language Models,10.48550/arXiv.2408.08333,2024,arXiv,CodeMirage Hallucinations in Code Generated by Large Language Models.pdf,e509f7f73a347bf3cf79045db75e6d15618e06eee894e2c4b42ecf588443fee7,Primary,10,ok,43788,6552
S25,COLLU-BENCH: A BENCHMARK FOR PREDICTING LANGUAGE MODEL HALLUCINATIONS IN CODE,10.48550/arXiv.2410.09997,2024,arXiv,COLLU-BENCH A BENCHMARK FOR PREDICTING LANGUAGE MODEL HALLUCINATIONS IN CODE.pdf,1126a1b770d0f69c706b603d1e20b3b3456b6c1d0bf986268f5b4a148a16816b,Primary,18,ok,69445,10190
S61,Cracking the Code: Co-coding with AI in Creative Programming Education,10.1145/3527927.3532801,2022,Proceedings of the 2022 ACM Designing Interactive Systems Conference / Creativity and Cognition,Cracking the code Co-coding with AI in creative programming education.pdf,2c613251ba449e6b1c3b7f032f493f4d2a8db067f0bdddcb1ff5f1f760aee1f0,Primary,10,ok,62136,9599
S26,De-Hallucinator: Iterative Grounding for LLM-Based Code Completion,,2024,arXiv,De-Hallucinator-Iterative-Grounding-for-LLM-Based-Code.pdf,3eab34a172a68818d2040c03a794723eda5be764f5d521a92017455ab1488f50,Primary,23,ok,77771,11630
S27,"Developer Experiences with a Contextualized AI Coding Assistant: Usability, Expectations, and Outcomes",10.1145/3644815.3644949,2024,CAIN 2024 (IEEE/ACM International Conference on AI Engineering – Software Engineering for AI),Developer_Experiences_with_a_Contextualized_AI_Coding_Assistant_Usability_Expectations_and_Outcomes.pdf,58ccdfa44ad423645933a0b1ccf4d33f7fc0998fa199b4196fa86455b95f810b,Primary,11,ok,68070,9994
S28,Digital Rubber Duck: Leveraging Large Language Models for Extreme Programming,10.1109/CSCE60160.2023.00051,2023,"CSCE 2023 (Proceedings of the 2023 World Congress in Computer Science, Computer Engineering, & Applied Computing)",Digital Rubber Duck Leveraging Large Language Models for Extreme Programming.pdf,c738416160b6247b5552c118ba54096ef95ed27421beb4ae831087c832df8390,Primary,10,ok,38414,5744
S29,Does ChatGPT Help With Introductory Programming? An Experiment of Students Using ChatGPT in CS1,10.1145/3639474.3640076,2024,ICSE-SEET 2024 (Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training),Does ChatGPT Help With Introductory Programming An Experiment of Students Using ChatGPT in CS1.pdf,bc64c6c6421d9f371cc0e92052180b8f50c22705af3cf5ed57e86895a5daacff,Primary,11,ok,65883,9713
S30,Enhancing Computer Programming Education with LLMs: A Study on Effective Prompt Engineering for Python Code Generation,10.48550/arXiv.2407.05437,2024,arXiv,Enhancing Computer Programming Education with LLMs A Study on Effective Prompt Engineering for Python Code Generation.pdf,dd3132bf5fc4e9fabe7b22b1be310258de20cab96d20dc874bfee55199e49c61,Primary,18,ok,61311,8700
S31,Enhancing Large Language Models in Coding Through Multi-Perspective Self-Consistency,10.48550/arXiv.2309.17272,2024,ACL 2024 (Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics,Enhancing Large Language Models in Coding Through Multi-Perspective Self-Consistency.pdf,f0710ac71e31a57c8480c87f449103db679864cde095bb6a7531e24e3cc41df1,Primary,22,ok,73009,11195
S32,Evaluating Large Language Models in Class-Level Code Generation,10.1145/3597503.3639219,2024,ICSE 2024 (Proceedings of the 46th International Conference on Software Engineering),Evaluating_Large_Language_Models_in_Class-Level_Code_Generation.pdf,2bd30a616d46d7ff04267218e612aa2c894cdfc093c27592a15a2e262364b5d2,Primary,13,ok,96123,13354
S33,Expectation vs. Experience: Evaluating the Usability of Code Generation Tools Powered by Large Language Models,10.1145/3491101.3519665,2022,is the CHI Conference on Human Factors in Computing Systems (CHI EA),Expectation vs. Experience Evaluating the Usability of Code.pdf,efc9521b9d07885043162b2752f52ec1fb68516e98b4216238baf405f5d3774d,Primary,7,ok,43993,6750
S34,Experiences and Challenges in AI-Driven Modular Software Development Using Large Language Models for Code Generation,10.22541/au.172871465.54826063/v1,2024,Authorea,Experiences and Challenges in AI-Driven Modular Software.pdf,5907e07a7386156d267f16a7a368962a4e765ef5123de52fec142b36c5828ae2,Primary,18,ok,77981,10853
S35,Explaining Code Examples in Introductory Programming Courses: LLM vs Humans,,2024,"AI4ED Workshop (AI for Education: Bridging Innovation and Responsibility), which was held at the 38th AAAI Conference on Artificial Intelligence (AAAI 2024)",Explaining Code Examples in Introductory Programming Courses LLM vs Humans.pdf,8d937e36db1d26dcea94a200291a9cef971a9194665b2a2b16ab4703cad87229,Primary,12,ok,32157,4714
S36,Beyond Functional Correctness: Exploring Hallucinations in LLM-Generated Code,10.48550/arXiv.2404.00971,2024,arXiv,Exploring and Evaluating Hallucinations in LLM-Powered Code Generation.pdf,85c865e91bbf541f4b8f8fca8b054f962131f5470422041b26f8ebcac30630de,Primary,18,ok,91545,13693
S38,Exploring the Verifiability of Code Generated by GitHub Copilot,10.48550/arXiv.2209.01766,2022,arXiv,Exploring the verifiability of code generated by github copilot.pdf,655c1797a158854a7f31db0516d2a4c2e9be847ff83501e3849c66b2d2f61c66,Primary,10,ok,32813,5170
S39,Exploring Early Adopters’ Perceptions of ChatGPT as a Code Generation Tool,10.1109/ASEW60602.2023.00016,2023,ASYDE 2023 (5th International Workshop on Automated and Verifiable Software System Development),Exploring_Early_Adopters_Perceptions_of_ChatGPT_as_a_Code_Generation_Tool.pdf,d9f1b830c3dfdc31e1985f09e368ce7e215499cc907da19866e17fd3eedf70e3,Primary,6,ok,32489,4953
S40,Exploring the Potential of Large Language Models to Generate Formative Programming Feedback,10.1109/FIE58773.2023.10343457,2023,IEEE Frontiers in Education Conference (FIE 2023),Exploring_the_Potential_of_Large_Language_Models_to_Generate_Formative_Programming_Feedback.pdf,b0f85afe91e2aa2d9f871679ad85542417188aefca1ae70f238b4d1e00dada5f,Primary,5,ok,29835,4929
S41,Extending the Frontier of ChatGPT: Code Generation and Debugging,10.1109/ICECET61485.2024.10698405,2024,"International Conference on Electrical, Computer and Energy Technologies (ICECET) / IEEE Xplore",Extending_the_Frontier_of_ChatGPT_Code_Generation_and_Debugging.pdf,9cb18470fa385997f933677799fa07f851f44b4da6c9c5d355ec72a68b13b32f,Primary,6,ok,28638,4326
S43,Fight Fire with Fire: How Much Can We Trust ChatGPT on Source Code-Related Tasks?,10.48550/arXiv.2405.12641,2024,IEEE Transactions on Software Engineering (TSE),Fight Fire with Fire How Much Can We Trust.pdf,9b8244e71d41ea39f493237ff5d66fa3e7dad8bcfdabb1e1e041db627fda909b,Primary,18,ok,119043,18274
S42,From Ban It Till We Understand It to Resistance is Futile: How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot,10.1145/3568813.3600138,2023,ICER 2023 (Proceedings of the 2023 ACM Conference on International Computing Education Research),From Ban It Till We Understand It to Resistance is Futile How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot.pdf,0407ec43ecf0555d44848955f37369ddcdb922687a13a0f61c7aebbf2c1936d4,Primary,16,ok,114291,17552
S44,Gauging Tech Community Acceptance of Rapid Prototyping in Unfamiliar Programming Languages using LLM Chatbots,10.1145/3643795.3648393,2024,LLM4Code '24 (Proceedings of the 1st International Workshop on Large Language Models for Code),Gauging_Tech_Community_Acceptance_of_Rapid_Prototyping_in_Unfamiliar_Programming_Languages_using_LLM_Chatbots.pdf,f8b653d4caeae1d7bdc4e13070eb866c1bf1f256a0416a88414b4f263dac9d7e,Primary,6,ok,27664,4315
S45,Grounded Copilot: How Programmers Interact with Code-Generating Models,10.1145/3586030,2023,the Proceedings of the ACM on Programming Languages (PACMPL),Grounded copilot How programmers interact with code-generating models.pdf,8306af3d76efde0f4aba0de5fa52674eef73c9b2358aace897d1ac4b156f041e,Primary,27,ok,100604,15490
S46,Hallucinating AI Hijacking Attack: Large Language Models and Malicious Code Recommenders,,2024,arXiv,Hallucinating AI Hijacking Attackc Large Language Models and Malicious Code Recommenders.pdf,3c7d946ce49f56703f34ed75999c15599cb87c53daf48dc7c2d085edb3af9979,Primary,19,ok,35611,4824
S62,“It would work for me too”: How Online Communities Shape Software Developers’ Trust in AI-Powered Code Generation Tools,10.1145/3651990,2024,Proceedings of the ACM on Human-Computer Interaction (CSCW,It would work for me too How Online Communities Shape Software Developers Trust in AI-Powered Code Generation Tools.pdf,8e1e51bf45d9dad265d5362787b87c32cae440fd3a8307f7f9578a4959e26532,Primary,39,ok,147407,22551
S63,Java Web Programming with ChatGPT,10.1109/ICMTIM62047.2024.10629560,2024,"ICMTIM 2024 (Proceedings of the 5th International Conference on Mechatronics, Tourism and Intelligent Management)",Java_Web_Programming_with_ChatGPT.pdf,e123cb9ab4d5c511aa2185c924b7053345fda0ef4cc5b6a4574dfc3040bbcc65,Primary,5,ok,24179,3573
S47,"LLM Hallucinations in Practical Code Generation: Phenomena, Mechanism, and Mitigation",10.48550/arXiv.2409.20550,2024,ISSTA 2025 (Proceedings of the 2025 ACM SIGSOFT International Symposium on Software Testing and Analysis),"LLM Hallucinations in Practical Code Generation Phenomena, Mechanism, and Mitigation.pdf",96b0888c6fed3abeb4fe9f832f830659f7d68822243b05100d49c2ac4f3404c2,Primary,13,ok,81881,11527
S48,LLM-Based Test-Driven Interactive Code Generation User Study and Empirical Evaluation,10.1109/TSE.2024.3428972,2024,IEEE Transactions on Software Engineering (TSE),LLM-Based Test-Driven Interactive Code Generation User Study and Empirical Evaluation.pdf,8b6cd3be2dd02d410d13c17b8b422738ec0875b6c6ef774e8c9c6c97396aed18,Primary,15,ok,87055,13592
S49,LLMs for Science: Usage for Code Generation and Data Analysis,10.1002/smr.2723,2024,Journal of Software: Evolution and Process (SMR),LLMs for science  Usage for code generation and data analysis.pdf,b8b1b34affdb81585734db0905d604e08b52366fb7012c53cb548d07e0ec0b98,Primary,7,ok,33847,5102
S50,No Need to Lift a Finger Anymore? Assessing the Quality of Code Generation by ChatGPT,10.1109/TSE.2024.3392499,2024,IEEE Transactions on Software Engineering (TSE). [1],No_Need_to_Lift_a_Finger_Anymore_Assessing_the_Quality_of_Code_Generation_by_ChatGPT.pdf,5b63d47371100156e916be620cb996dd7a5cb0e2b2761a7a5597ebbbc3ef28b4,Primary,37,ok,199248,32014
S51,On Mitigating Code LLM Hallucinations with API Documentation,10.48550/arXiv.2407.09726,2024,ICSE-SEIP (IEEE/ACM International Conference on Software Engineering: Software Engineering in Practice),On Mitigating Code LLM Hallucinations with API Documentation.pdf,679a0a5785760f81c628be38cd347be9c4d6d4d0ba1cbf71085a4505468efbdf,Primary,18,ok,60985,9133
S64,Pair programming with ChatGPT for sampling and estimation of copulas,10.1007/s00180-023-01437-2,2024,Computational Statistics,Pair programming with ChatGPT for sampling and estimation of copulas.pdf,f77b5083f6189c3f511309454577456c3c0742adba6adb9581342bf3ec2595a8,Primary,31,ok,72092,11268
S52,Poisoned ChatGPT Finds Work for Idle Hands: Exploring Developers’ Coding Practices with Insecure Suggestions from Poisoned AI Models,10.1109/SP54263.2024.00046,2024,IEEE S&P 2024 (Proceedings of the 45th IEEE Symposium on Security and Privacy),Poisoned_ChatGPT_Finds_Work_for_Idle_Hands_Exploring_Developers_Coding_Practices_with_Insecure_Suggestions_from_Poisoned_AI_Models.pdf,d0576093e4347f7c8a8276f38f7fff35171dabbe05456ee002786089459d86ff,Primary,19,ok,114540,16928
S53,Test-Driven Development and LLM-based Code Generation,10.1145/3691620.3695527,2024,IEEE/ACM International Conference on Automated Software Engineering (ASE 2024),Test-Driven_Development_and_LLM-based_Code_Generation.pdf,45203d0052ea9909134687988d36163eacf24de09d1cbaaf25627bb024a05eed,Primary,12,ok,68862,10392
S54,The Future of Grading Programming Assignments in Education: The Role of ChatGPT in Automating the Assessment and Feedback Process,10.1016/j.tsc.2024.101522,2024,Thinking Skills and Creativity,The future of grading programming assignments in education The role of ChatGPT in automating the assessment and feedback process.pdf,db5c634d2930e718b1b12c0aab3d868fd5806bcba23b7613df332ac1e8301234,Primary,9,ok,34886,4995
S55,Toward a New Era of Rapid Development: Assessing GPT-4-Vision’s Capabilities in UML-Based Code Generation,10.1145/3643795.3648391,2024,LLM4Code 2024 (1st International Workshop on Large Language Models for Code),Toward_a_New_Era_of_Rapid_Development_Assessing_GPT-4-Visions_Capabilities_in_UML-Based_Code_Generation.pdf,5e56aaef4d4c7ac51b62b94b34577f0693ab84e2b6d76d2d3ef00f3eba2f5148,Primary,4,ok,23996,3722
S56,Unmasking the giant: A comprehensive evaluation of ChatGPT's proficiency in coding algorithms and data structures,10.5220/0012467100003636,2024,the 16th International Conference on Agents and Artificial Intelligence,Unmasking the giant A comprehensive evaluation of ChatGPT's proficiency in coding algorithms and data structures.pdf,9949a6205101fa0c001cf8b446848793e4e2dbeaf35a1ac47c5b7ba350e3bd54,Primary,22,ok,71769,10915
S57,User Centric Evaluation of Code Generation Tools,10.1109/AITest62860.2024.00022,2024,IEEE International Conference on Artificial Intelligence Testing (AITest 2024),User_Centric_Evaluation_of_Code_Generation_Tools_Invited_Paper.pdf,6fdd3447fa05947e8b7bf9bb2511b75840e3e6f0dfc4b32cbe887d58730a8599,Primary,11,ok,65062,10405
S58,We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs,10.48550/arXiv.2406.10279,2024,USENIX Security Symposium (USENIX Security 2025),WeHaveaPackage for You A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs.pdf,9ec7e9a82271a165b14eed2ea075ae227904b3f26dc72765764c836484ff4c2c,Primary,22,ok,106868,15571
S59,Why Do Developers Engage with ChatGPT in Issue-Tracker? Investigating Usage and Reliance on ChatGPT-Generated Code,10.48550/arXiv.2412.06757,2024,"SANER 2025 (Proceedings of the 2025 IEEE International Conference on Software Analysis, Evolution and Reengineering)",Why Do Developers Engage with ChatGPT in Issue-Tracker Investigating Usage and Reliance on ChatGPT-Generated Code.pdf,e6fa62521e4b111320c818aead11c2afa92ede3344e2b4cdf139b403a52d1667,Primary,12,ok,71898,10572
S60,"Would ChatGPT-facilitated programming mode impact college students’ programming behaviors, performances, and perceptions? An empirical study",10.1186/s41239-024-00446-5,2024,International Journal of Educational Technology in Higher Education (IJETHE),"Would ChatGPT-facilitated programming mode impact college students programming behaviors, performances, and perceptions An empirical study.pdf",e0785dee5903a42ffefe3e5cccb86d2d8d63f8ebfba31b301c65d0dfa3fc3c72,Primary,22,ok,79243,11265
