Study_ID,pdf_filename,n_pages,raw_chars,raw_tokens,chars_per_page,alpha_ratio,bad_char_ratio,ocr_triggers,needs_ocr_or_manual_inspection,repeated_header_footer_lines_removed,section_start_heading,section_end_heading,section_detection,substantive_char_count,substantive_token_count
S52,Poisoned_ChatGPT_Finds_Work_for_Idle_Hands_Exploring_Developers_Coding_Practices_with_Insecure_Suggestions_from_Poisoned_AI_Models.pdf,19,114558,16928,6029.4,0.9217,0.0,,False,3,introduction,acknowledg,high,91969,13680
S53,Test-Driven_Development_and_LLM-based_Code_Generation.pdf,12,68873,10392,5739.4,0.9275,0.0,,False,3,introduction,acknowledg,high,55091,8391
S54,The future of grading programming assignments in education The role of ChatGPT in automating the assessment and feedback process.pdf,9,34894,4995,3877.1,0.9135,0.0,,False,11,introduction,data_availability,high,24828,3856
S55,Toward_a_New_Era_of_Rapid_Development_Assessing_GPT-4-Visions_Capabilities_in_UML-Based_Code_Generation.pdf,4,23999,3722,5999.8,0.9139,0.0,,False,7,introduction,acknowledg,high,17168,2652
S56,Unmasking the giant A comprehensive evaluation of ChatGPT's proficiency in coding algorithms and data structures.pdf,22,71790,10915,3263.2,0.9017,0.0,,False,5,introduction,references,high,60031,9547
S57,User_Centric_Evaluation_of_Code_Generation_Tools_Invited_Paper.pdf,11,65072,10405,5915.6,0.9199,0.0,,False,13,introduction,acknowledg,high,53509,8661
S58,WeHaveaPackage for You A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs.pdf,22,106889,15571,4858.6,0.8967,0.0,,False,4,introduction,references,high,67324,9967
S59,Why Do Developers Engage with ChatGPT in Issue-Tracker Investigating Usage and Reliance on ChatGPT-Generated Code.pdf,12,71909,10572,5992.4,0.893,0.0,,False,2,introduction,acknowledg,high,52362,7582
S60,"Would ChatGPT-facilitated programming mode impact college students programming behaviors, performances, and perceptions An empirical study.pdf",22,79264,11265,3602.9,0.9032,0.0,,False,1,introduction,acknowledg,high,58182,8370
S61,Cracking the code Co-coding with AI in creative programming education.pdf,10,62145,9599,6214.5,0.9238,0.0,,False,3,introduction,references,high,47543,7601
S62,It would work for me too How Online Communities Shape Software Developers Trust in AI-Powered Code Generation Tools.pdf,39,147445,22551,3780.6,0.9165,0.0,,False,3,introduction,appendix,high,27272,4330
S63,Java_Web_Programming_with_ChatGPT.pdf,5,24183,3573,4836.6,0.9305,0.0,,False,7,introduction,references,high,18776,2819
S64,Pair programming with ChatGPT for sampling and estimation of copulas.pdf,31,72122,11268,2326.5,0.905,0.00019,,False,3,introduction,references,high,61888,9857
S65,7- HAVEN.pdf,7,38223,5538,5460.4,0.8562,0.00016,,False,27,introduction,references,high,28866,4218
S66,3- Importing Phantoms.pdf,23,44727,6621,1944.7,0.894,0.0,,False,3,introduction,references,high,35052,5164
S70,6- Towards Mitigating API Hallucination in Code Generated.pdf,12,70972,10432,5914.3,0.8544,0.0,,False,16,introduction,references,high,50255,7273
S71,1- Code Generation Using LLMs.pdf,7,20296,2900,2899.4,0.9166,0.0,,False,4,introduction,references,high,11388,1676
